Sven Botman, CB, Newcastle United, Netherlands, Value: 726, https://fifastatic.fifaindex.com/FIFA24/players/251809.png, 00093
Luis Alberto, CM, Lazio, Spain, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/198706.png, 00134
Koke, CDM/CM, Atlético de Madrid, Spain, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/193747.png, 00135
Koen Casteels, GK, VfL Wolfsburg, Belgium, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/192984.png, 00136
Romelu Lukaku, ST, Roma, Belgium, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/192505.png, 00137
Chris Smalling, CB, Roma, England, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/189881.png, 00138
Thomas Müller, CAM/CF/ST, Bayern München, Germany, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/189596.png, 00139
Thiago, CM, Liverpool, Spain, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/189509.png, 00140
Kyle Walker, RB, Manchester City, England, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/188377.png, 00141
Péter Gulácsi, GK, RB Leipzig, Hungary, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/185122.png, 00142
Yann Sommer, GK, Inter, Switzerland, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/177683.png, 00143
Thiago Silva, CB, Chelsea, Brazil, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/164240.png, 00144
Gavi, CM/LW, FC Barcelona, Spain, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/264240.png, 00145
Jeremie Frimpong, RWB/RM, Bayer 04 Leverkusen, Netherlands, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/253149.png, 00146
Nico Schlotterbeck, CB, Borussia Dortmund, Germany, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/247819.png, 00147
Enzo Fernández, CM/CDM, Chelsea, Argentina, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/247090.png, 00148
Dani Olmo, CAM/CF, RB Leipzig, Spain, Value: 718, https://fifastatic.fifaindex.com/FIFA24/players/244260.png, 00149
William Saliba, CB, Napoli, France, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/243715.png, 00150
Cody Gakpo, CF/LW, Liverpool, Netherlands, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/242516.png, 00151
Pau Torres, CB, Aston Villa, Spain, Value: 716, https://fifastatic.fifaindex.com/FIFA24/players/241464.png, 00152
Alphonso Davies, LB/LM, Bayern München, Canada, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/234396.png, 00153
Patrik Schick, ST, Bayer 04 Leverkusen, Czech Republic, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/234236.png, 00154
Franck Yannick Kessié, CDM/CM, Al Ahli, Ivory Coast, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/230938.png, 00155
Unai Simón, GK, Athletic Club de Bilbao, Spain, Value: 716, https://fifastatic.fifaindex.com/FIFA24/players/230869.png, 00156
Ronaldo Cabrais, CAM/RM, Palmeiras, Brazil, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/230481.png, 00157
Oyarzabal, LM/RM/LW, Real Sociedad, Spain, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/230142.png, 00158
Gianluca Mancini, CB, Atlético de Madrid, Italy, Value: 714, https://fifastatic.fifaindex.com/FIFA24/players/229582.png, 00159
Palhinha, CDM/CM, Fulham, Portugal, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/229391.png, 00160
Lorenzo Pellegrini, CAM/CM/CF, Roma, Italy, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/228251.png, 00161
André-Franck Zambo Anguissa, CDM/CM, Napoli, Cameroon, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/227236.png, 00162
Benjamin Pavard, CB/RB, Inter, France, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/226851.png, 00163
Presnel Kimpembe, CB, Paris Saint-Germain, France, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/225850.png, 00164
Guido Rodríguez, CDM, Real Betis Balompié, Argentina, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/225659.png, 00165
Konrad Laimer, CDM/CM, Bayern München, Austria, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/225375.png, 00166
Alex Meret, GK, Napoli, Italy, Value: 714, https://fifastatic.fifaindex.com/FIFA24/players/225116.png, 00167
Borja Iglesias, ST, Real Betis Balompié, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/224179.png, 00168
Manuel Locatelli, CDM/CM, Juventus, Italy, Value: 716, https://fifastatic.fifaindex.com/FIFA24/players/222077.png, 00169
Marco Asensio, RW, Paris Saint-Germain, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/220834.png, 00170
Nabil Fekir, CAM, Real Betis Balompié, France, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/216594.png, 00171
Rafa, CF/RM, Benfica, Portugal, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/216547.png, 00172
José María Giménez, CB, Atlético de Madrid, Uruguay, Value: 714, https://fifastatic.fifaindex.com/FIFA24/players/216460.png, 00173
Marcelo Brozović, CDM/CM, Al Nassr, Croatia, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/216352.png, 00174
Andreas Christensen, CB, FC Barcelona, Denmark, Value: 714, https://fifastatic.fifaindex.com/FIFA24/players/213661.png, 00175
Alessio Romagnoli, CB, Lazio, Italy, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/210413.png, 00176
Piotr Zieliński, CM/CAM, Napoli, Poland, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/210406.png, 00177
Jonas Hofmann, CAM/RM/LM, Bayer 04 Leverkusen, Germany, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/210324.png, 00178
Filip Kostić, LM/LW, Juventus, Serbia, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/208574.png, 00179
Emre Can, CDM/CB, Borussia Dortmund, Germany, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/208333.png, 00180
Gerard Moreno, ST/RM, Villarreal CF, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/208093.png, 00181
Luke Shaw, LB/CB, Manchester United, England, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/205988.png, 00182
Sébastien Haller, ST, Borussia Dortmund, Ivory Coast, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/205693.png, 00183
Jorginho, CDM/CM, Arsenal, Italy, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/205498.png, 00184
Willi Orban, CB, RB Leipzig, Hungary, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/204638.png, 00185
Raheem Sterling, LW/RW/ST, Chelsea, England, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/202652.png, 00186
Sergi Darder, CM/CDM/CAM, RCD Mallorca, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/202648.png, 00187
Morata, ST, Bayer 04 Leverkusen, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/201153.png, 00188
Nacho Fernández, CB/LB/RB, Real Madrid, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/200724.png, 00189
Francesco Acerbi, CB, Inter, Italy, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/199845.png, 00190
Wissam Ben Yedder, ST, AS Monaco, France, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/199451.png, 00191
Alexandre Lacazette, ST, Olympique Lyonnais, France, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/193301.png, 00192
Christian Eriksen, CM/CDM, Manchester United, Denmark, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/190460.png, 00193
Sergio Busquets, CDM, Inter Miami, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/189511.png, 00194
Jordi Alba, LB, Inter Miami, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/189332.png, 00195
Marco Reus, CAM/CF, Borussia Dortmund, Germany, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/188350.png, 00196
Ángel Di María, CF/RW/RM, Benfica, Argentina, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/183898.png, 00197
Edin Džeko, ST, Fenerbahçe, Bosnia & Herzegovina, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/180930.png, 00198
Mats Hummels, CB, Borussia Dortmund, Germany, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/178603.png, 00199
Hugo Lloris, GK, Tottenham Hotspur, France, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/167948.png, 00200
Sergio Ramos, CB, Sevilla FC, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/155862.png, 00201
Antony, RW/RM, Manchester United, Brazil, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/255475.png, 00202
Darwin Núñez, ST/LW, Liverpool, Uruguay, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/253072.png, 00203
Nuno Mendes, LB/LWB, Paris Saint-Germain, Portugal, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/252145.png, 00204
Joško Gvardiol, CB/LB, Manchester City, Croatia, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/251517.png, 00205
Eduardo Camavinga, CDM/CM/LB, Real Madrid, France, Value: 714, https://fifastatic.fifaindex.com/FIFA24/players/248243.png, 00206
Boulaye Dia, ST/LW/CF, Salernitana, Senegal, Value: 706, https://fifastatic.fifaindex.com/FIFA24/players/246242.png, 00207
Viktor Tsygankov, RM/CM/CAM, Girona FC, Ukraine, Value: 706, https://fifastatic.fifaindex.com/FIFA24/players/244369.png, 00208
Loïs Openda, ST, RB Leipzig, Belgium, Value: 708, https://fifastatic.fifaindex.com/FIFA24/players/243580.png, 00209
Orkun Kökçü, CM/CAM, Benfica, Turkey, Value: 708, https://fifastatic.fifaindex.com/FIFA24/players/243245.png, 00210
Mehdi Taremi, ST/CF, FC Porto, Iran, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/241788.png, 00211
Dominik Livaković, GK, Fenerbahçe, Croatia, Value: 704, https://fifastatic.fifaindex.com/FIFA24/players/241671.png, 00212
Ferran Torres, LW/RW/ST, FC Barcelona, Spain, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/241461.png, 00213
Pedro Gonçalves, LW/RW/CM, Sporting CP, Portugal, Value: 706, https://fifastatic.fifaindex.com/FIFA24/players/240950.png, 00214
Guglielmo Vicario, GK, Tottenham Hotspur, Italy, Value: 706, https://fifastatic.fifaindex.com/FIFA24/players/240091.png, 00215
Alexis Mac Allister, CM/CAM/CDM, Liverpool, Argentina, Value: 704, https://fifastatic.fifaindex.com/FIFA24/players/239837.png, 00216
Dominik Szoboszlai, CAM, Liverpool, Hungary, Value: 708, https://fifastatic.fifaindex.com/FIFA24/players/236772.png, 00217
Noussair Mazraoui, RB, Bayern München, Morocco, Value: 706, https://fifastatic.fifaindex.com/FIFA24/players/236401.png, 00218
Kai Havertz, CAM/RW/ST, Arsenal, Germany, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/235790.png, 00219
Youssef En-Nesyri, ST, Sevilla FC, Morocco, Value: 702, https://fifastatic.fifaindex.com/FIFA24/players/235410.png, 00220
Édouard Mendy, GK, Al Ahli, Senegal, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/234642.png, 00221
Diogo Costa, GK, FC Porto, Portugal, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/234577.png, 00222
Alexander Isak, ST/LW, Newcastle United, Sweden, Value: 708, https://fifastatic.fifaindex.com/FIFA24/players/233731.png, 00223
Robin Le Normand, CB, Real Sociedad, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/233486.png, 00224
Nahuel Molina, RB/RWB/RM, Atlético de Madrid, Argentina, Value: 708, https://fifastatic.fifaindex.com/FIFA24/players/233084.png, 00225
Jadon Sancho, LW/LM, Manchester United, England, Value: 708, https://fifastatic.fifaindex.com/FIFA24/players/233049.png, 00226
Isi Palazón, RM, Rayo Vallecano, Spain, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/232498.png, 00227
Cristian Romero, CB, Tottenham Hotspur, Argentina, Value: 708, https://fifastatic.fifaindex.com/FIFA24/players/232488.png, 00228
Javi Galán, LB/LWB, Atlético de Madrid, Spain, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/231591.png, 00229
Donyell Malen, RM/ST, Borussia Dortmund, Netherlands, Value: 704, https://fifastatic.fifaindex.com/FIFA24/players/231447.png, 00230
Josué Chiamulera, CB, Athletico Paranaense, Brazil, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/230375.png, 00231
Lucas Mantela, GK, Palmeiras, Brazil, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/230182.png, 00232
Mario Hermoso, CB, Atlético de Madrid, Spain, Value: 702, https://fifastatic.fifaindex.com/FIFA24/players/229668.png, 00233
Dayot Upamecano, CB, Bayern München, France, Value: 708, https://fifastatic.fifaindex.com/FIFA24/players/229558.png, 00234
Manuel Akanji, CB, Manchester City, Switzerland, Value: 702, https://fifastatic.fifaindex.com/FIFA24/players/229237.png, 00235
Ferland Mendy, LB, Real Madrid, France, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/228618.png, 00236
Rodrigo Bentancur, CM/CDM, Tottenham Hotspur, Uruguay, Value: 706, https://fifastatic.fifaindex.com/FIFA24/players/227535.png, 00237
Federico Dimarco, LWB/LM/CB, Inter, Italy, Value: 706, https://fifastatic.fifaindex.com/FIFA24/players/226268.png, 00238
David García, CB, CA Osasuna, Spain, Value: 702, https://fifastatic.fifaindex.com/FIFA24/players/225341.png, 00239
Ivan Provedel, GK, Lazio, Italy, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/224987.png, 00240
Lucas Torreira, CDM/CM, Galatasaray, Uruguay, Value: 704, https://fifastatic.fifaindex.com/FIFA24/players/223959.png, 00241
Joelinton, CM/LW, Newcastle United, Brazil, Value: 702, https://fifastatic.fifaindex.com/FIFA24/players/223334.png, 00242
Enes Ünal, ST, Getafe CF, Turkey, Value: 704, https://fifastatic.fifaindex.com/FIFA24/players/223197.png, 00243
Mattia Zaccagni, LW, Lazio, Italy, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/220502.png, 00244
Jeremías Conan Ledesma, GK, Cádiz CF, Argentina, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/219522.png, 00245
Youri Tielemans, CM/CDM, Aston Villa, Belgium, Value: 704, https://fifastatic.fifaindex.com/FIFA24/players/216393.png, 00246
Seko Fofana, CM, Al Nassr, Ivory Coast, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/216320.png, 00247
Ángel Correa, ST/RM, Atlético de Madrid, Argentina, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/214997.png, 00248
Thomas Lemar, CM/LM, Atlético de Madrid, France, Value: 702, https://fifastatic.fifaindex.com/FIFA24/players/213565.png, 00249
Ricardo Horta, CAM/CF/RM, Braga, Portugal, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/213516.png, 00250
João Mário, RM/LM/CM, Benfica, Portugal, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/212814.png, 00251
Robert Andrich, CDM/CM, Bayer 04 Leverkusen, Germany, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/212242.png, 00252
Timo Werner, ST, RB Leipzig, Germany, Value: 702, https://fifastatic.fifaindex.com/FIFA24/players/212188.png, 00253
Vincenzo Grifo, LM/CF/CAM, Bayern München, Italy, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/212096.png, 00254
Mark Flekken, GK, Brentford, Netherlands, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/211738.png, 00255
Gayà, LB/LWB, Milan, Spain, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/211688.png, 00256
Otávio, RM/LM, Al Nassr, Portugal, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/210411.png, 00257
Fabian Schär, CB, Newcastle United, Switzerland, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/210047.png, 00258
Raphaël Guerreiro, LB/LM/CM, Bayern München, Portugal, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/209889.png, 00259
Mateo Kovačić, CM/CDM, Manchester City, Croatia, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/207410.png, 00260
Carvajal, RB, Real Madrid, Spain, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/204963.png, 00261
Jordan Pickford, GK, Everton, England, Value: 704, https://fifastatic.fifaindex.com/FIFA24/players/204935.png, 00262
Stefan Savić, CB, Atlético de Madrid, Montenegro, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/204639.png, 00263
Iñigo Martínez, CB, FC Barcelona, Spain, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/204525.png, 00264
Roberto Firmino, CF/ST, Al Ahli, Brazil, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/201942.png, 00265
Granit Xhaka, CM/CDM, Bayer 04 Leverkusen, Switzerland, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/199503.png, 00266
Anthony Lopes, GK, Olympique Lyonnais, Portugal, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/199482.png, 00267
Dušan Tadić, LW/CF/RW, Fenerbahçe, Serbia, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/199434.png, 00268
Stefan de Vrij, CB, Inter, Netherlands, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/198176.png, 00269
Callum Wilson, ST, Newcastle United, England, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/196978.png, 00270
Nicolás Otamendi, CB, Benfica, Argentina, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/192366.png, 00271
Mario Götze, CAM/CF/LM, Eintracht Frankfurt, Germany, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/192318.png, 00272
Fernando, CDM/CB, Sevilla FC, Brazil, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/184134.png, 00273
Olivier Giroud, ST, Milan, France, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/178509.png, 00274
Joselu, ST, Real Madrid, Spain, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/173608.png, 00275
Balde, LB/RB, Newcastle United, Spain, Value: 706, https://fifastatic.fifaindex.com/FIFA24/players/263578.png, 00276
Manuel Ugarte, CDM/CM, Paris Saint-Germain, Uruguay, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/253306.png, 00277
Ali Al Musrati, CDM/CM, Braga, Libya, Value: 532, https://fifastatic.fifaindex.com/FIFA24/players/252308.png, 00278
Beto, ST, Everton, Portugal, Value: 534, https://fifastatic.fifaindex.com/FIFA24/players/251892.png, 00279
Dejan Kulusevski, RW, Tottenham Hotspur, Sweden, Value: 538, https://fifastatic.fifaindex.com/FIFA24/players/247394.png, 00280
Edmond Tapsoba, CB, Bayer 04 Leverkusen, Burkina Faso, Value: 538, https://fifastatic.fifaindex.com/FIFA24/players/247263.png, 00281
Samuel Chukwueze, RW/RM, Milan, Nigeria, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/246172.png, 00282
Sancet, CAM/CM/ST, Athletic Club de Bilbao, Spain, Value: 702, https://fifastatic.fifaindex.com/FIFA24/players/244675.png, 00283
Amir Rrahmani, CB, Napoli, Kosovo, Value: 530, https://fifastatic.fifaindex.com/FIFA24/players/244263.png, 00284
Jonathan David, ST, LOSC Lille, Canada, Value: 536, https://fifastatic.fifaindex.com/FIFA24/players/243630.png, 00285
Pedro Porro, RB/RWB, Tottenham Hotspur, Spain, Value: 536, https://fifastatic.fifaindex.com/FIFA24/players/243576.png, 00286
João Félix, CF/ST/LW, FC Barcelona, Portugal, Value: 702, https://fifastatic.fifaindex.com/FIFA24/players/242444.png, 00287
Nicolás González, RW/LW, Fiorentina, Argentina, Value: 536, https://fifastatic.fifaindex.com/FIFA24/players/240690.png, 00288
Jonathan Clauss, RWB/RM/RB, Olympique de Marseille, France, Value: 530, https://fifastatic.fifaindex.com/FIFA24/players/239093.png, 00289
Ibrahima Konaté, CB, Liverpool, France, Value: 702, https://fifastatic.fifaindex.com/FIFA24/players/237678.png, 00290
