Erling Haaland, ST, Manchester City, Norway, Value: 916, https://fifastatic.fifaindex.com/FIFA24/players/239085.png, 00001
Joshua Kimmich, CDM/RB/CM, Bayern München, Germany, Value: 882, https://fifastatic.fifaindex.com/FIFA24/players/212622.png, 00021
Bruno Fernandes, CAM/CM, Manchester United, Portugal, Value: 880, https://fifastatic.fifaindex.com/FIFA24/players/212198.png, 00022
Ederson, GK, Manchester City, Brazil, Value: 882, https://fifastatic.fifaindex.com/FIFA24/players/210257.png, 00023
Jan Oblak, GK, Atlético de Madrid, Slovenia, Value: 880, https://fifastatic.fifaindex.com/FIFA24/players/200389.png, 00024
Antoine Griezmann, ST/CF, Atlético de Madrid, France, Value: 880, https://fifastatic.fifaindex.com/FIFA24/players/194765.png, 00025
Gregor Kobel, GK, Borussia Dortmund, Switzerland, Value: 876, https://fifastatic.fifaindex.com/FIFA24/players/235073.png, 00026
Lautaro Martínez, ST, Inter, Argentina, Value: 876, https://fifastatic.fifaindex.com/FIFA24/players/231478.png, 00027
Gianluigi Donnarumma, GK, Paris Saint-Germain, Italy, Value: 876, https://fifastatic.fifaindex.com/FIFA24/players/230621.png, 00028
Frenkie de Jong, CM/CDM, FC Barcelona, Netherlands, Value: 876, https://fifastatic.fifaindex.com/FIFA24/players/228702.png, 00029
Martin Ødegaard, CAM/CM, Arsenal, Norway, Value: 876, https://fifastatic.fifaindex.com/FIFA24/players/222665.png, 00030
Mike Maignan, GK, Milan, France, Value: 874, https://fifastatic.fifaindex.com/FIFA24/players/215698.png, 00031
Marquinhos, CB, Paris Saint-Germain, Brazil, Value: 872, https://fifastatic.fifaindex.com/FIFA24/players/207865.png, 00032
Heung Min Son, LW, Tottenham Hotspur, Korea Republic, Value: 870, https://fifastatic.fifaindex.com/FIFA24/players/200104.png, 00033
Luka Modrić, CM, Real Madrid, Croatia, Value: 870, https://fifastatic.fifaindex.com/FIFA24/players/177003.png, 00034
Manuel Neuer, GK, Bayern München, Germany, Value: 870, https://fifastatic.fifaindex.com/FIFA24/players/167495.png, 00035
Jamal Musiala, CAM/CM/LM, Bayern München, Germany, Value: 874, https://fifastatic.fifaindex.com/FIFA24/players/256790.png, 00036
Ronald Araujo, CB/RB, FC Barcelona, Uruguay, Value: 870, https://fifastatic.fifaindex.com/FIFA24/players/253163.png, 00037
Jude Bellingham, CM/CAM, Real Madrid, England, Value: 870, https://fifastatic.fifaindex.com/FIFA24/players/252371.png, 00038
Pedri, CM, FC Barcelona, Spain, Value: 872, https://fifastatic.fifaindex.com/FIFA24/players/251854.png, 00039
Khvicha Kvaratskhelia, LW/RW, Napoli, Georgia, Value: 872, https://fifastatic.fifaindex.com/FIFA24/players/247635.png, 00040
Bukayo Saka, RW/RM, Arsenal, England, Value: 868, https://fifastatic.fifaindex.com/FIFA24/players/246669.png, 00041
Rafael Leão, LW/CF/ST, Milan, Portugal, Value: 870, https://fifastatic.fifaindex.com/FIFA24/players/241721.png, 00042
Sandro Tonali, CDM/CM, Newcastle United, Italy, Value: 866, https://fifastatic.fifaindex.com/FIFA24/players/241096.png, 00043
Éder Militão, CB, Real Madrid, Brazil, Value: 866, https://fifastatic.fifaindex.com/FIFA24/players/240130.png, 00044
Matthijs de Ligt, CB, Bayern München, Netherlands, Value: 866, https://fifastatic.fifaindex.com/FIFA24/players/235243.png, 00045
Christopher Nkunku, CF/CAM/ST, Chelsea, France, Value: 864, https://fifastatic.fifaindex.com/FIFA24/players/232411.png, 00046
Ousmane Dembélé, RW/LW, Paris Saint-Germain, France, Value: 862, https://fifastatic.fifaindex.com/FIFA24/players/231443.png, 00047
Trent Alexander-Arnold, RB, Liverpool, England, Value: 864, https://fifastatic.fifaindex.com/FIFA24/players/231281.png, 00048
Nicolò Barella, CM, Inter, Italy, Value: 864, https://fifastatic.fifaindex.com/FIFA24/players/224232.png, 00049
Sergej Milinković-Savić, CM, Al Hilal, Serbia, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/223848.png, 00050
Andrew Robertson, LB, Liverpool, Scotland, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/216267.png, 00051
N'Golo Kanté, CDM/CM, Al Ittihad, France, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/215914.png, 00052
Paulo Dybala, CF/CAM, Roma, Argentina, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/211110.png, 00053
João Cancelo, LB/RB, FC Barcelona, Portugal, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/210514.png, 00054
Sadio Mané, CF/LM/ST, Al Nassr, Senegal, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/208722.png, 00055
Parejo, CM/CDM, Villarreal CF, Spain, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/189513.png, 00056
İlkay Gündoğan, CM/CDM, FC Barcelona, Germany, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/186942.png, 00057
Wojciech Szczęsny, GK, Juventus, Poland, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/186153.png, 00058
Toni Kroos, CM/CDM, Real Madrid, Germany, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/182521.png, 00059
Cristiano Ronaldo, ST, Al Nassr, Portugal, Value: 950, https://fifastatic.fifaindex.com/FIFA24/players/20801.png, 00060
Florian Wirtz, CAM/CM, Bayer 04 Leverkusen, Germany, Value: 862, https://fifastatic.fifaindex.com/FIFA24/players/256630.png, 00061
Bruno Guimarães, CM/CDM, Newcastle United, Brazil, Value: 854, https://fifastatic.fifaindex.com/FIFA24/players/247851.png, 00062
Rodrygo, RW/LW/ST, Real Madrid, Brazil, Value: 862, https://fifastatic.fifaindex.com/FIFA24/players/243812.png, 00063
Jules Koundé, CB/RB, FC Barcelona, France, Value: 858, https://fifastatic.fifaindex.com/FIFA24/players/241486.png, 00064
Phil Foden, LW/RW, Manchester City, England, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/237692.png, 00065
Alessandro Bastoni, CB, Inter, Italy, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/237383.png, 00066
Declan Rice, CDM/CM, Arsenal, England, Value: 854, https://fifastatic.fifaindex.com/FIFA24/players/234378.png, 00067
Theo Hernández, LB/LM, Milan, France, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/232656.png, 00068
Marcus Rashford, LW/LM/ST, Manchester United, England, Value: 856, https://fifastatic.fifaindex.com/FIFA24/players/231677.png, 00069
André Onana, GK, Manchester United, Cameroon, Value: 852, https://fifastatic.fifaindex.com/FIFA24/players/226753.png, 00070
Diogo Jota, CF/LW, Liverpool, Portugal, Value: 854, https://fifastatic.fifaindex.com/FIFA24/players/224458.png, 00071
Marcos Acuña, LB/LM, Sevilla FC, Argentina, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/224334.png, 00072
Giovanni Di Lorenzo, RB, Napoli, Italy, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/217870.png, 00073
Kingsley Coman, LM/RM, Bayern München, France, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/213345.png, 00074
Aymeric Laporte, CB, Al Nassr, Spain, Value: 852, https://fifastatic.fifaindex.com/FIFA24/players/212218.png, 00075
Domenico Berardi, RW/RM, Sassuolo, Italy, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/210935.png, 00076
Thomas Partey, CDM/CM, Arsenal, Ghana, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/209989.png, 00077
Yassine Bounou, GK, Al Hilal, Morocco, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/209981.png, 00078
Leon Goretzka, CM/CDM, Chelsea, Germany, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/209658.png, 00079
Hakan Çalhanoğlu, CM/CDM, Inter, Turkey, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/208128.png, 00080
Jack Grealish, LW/LM, Manchester City, England, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/206517.png, 00081
Antonio Rüdiger, CB, Real Madrid, Germany, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/205452.png, 00082
Riyad Mahrez, RM/RW, Al Ahli, Algeria, Value: 852, https://fifastatic.fifaindex.com/FIFA24/players/204485.png, 00083
John Stones, CB/RB, Manchester City, England, Value: 852, https://fifastatic.fifaindex.com/FIFA24/players/203574.png, 00084
Emiliano Martínez, GK, Aston Villa, Argentina, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/202811.png, 00085
Raphaël Varane, CB, Tottenham Hotspur, France, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/201535.png, 00086
David Alaba, CB/LB, Real Madrid, Austria, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/197445.png, 00087
Keylor Navas, GK, Paris Saint-Germain, Costa Rica, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/193041.png, 00088
Iago Aspas, ST, RC Celta de Vigo, Spain, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/192629.png, 00089
Ciro Immobile, ST, Lazio, Italy, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/192387.png, 00090
Kevin Trapp, GK, Eintracht Frankfurt, Germany, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/188943.png, 00091
Kieran Trippier, RB, Newcastle United, England, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/186345.png, 00092
Aurélien Tchouaméni, CDM/CM, Real Madrid, France, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/241637.png, 00097
