Erling Haaland, ST, Manchester City, Norway, Value: 916, https://fifastatic.fifaindex.com/FIFA24/players/239085.png, 00001
Joshua Kimmich, CDM/RB/CM, Bayern München, Germany, Value: 882, https://fifastatic.fifaindex.com/FIFA24/players/212622.png, 00021
Bruno Fernandes, CAM/CM, Manchester United, Portugal, Value: 880, https://fifastatic.fifaindex.com/FIFA24/players/212198.png, 00022
Ederson, GK, Manchester City, Brazil, Value: 882, https://fifastatic.fifaindex.com/FIFA24/players/210257.png, 00023
Jan Oblak, GK, Atlético de Madrid, Slovenia, Value: 880, https://fifastatic.fifaindex.com/FIFA24/players/200389.png, 00024
Antoine Griezmann, ST/CF, Atlético de Madrid, France, Value: 880, https://fifastatic.fifaindex.com/FIFA24/players/194765.png, 00025
Gregor Kobel, GK, Borussia Dortmund, Switzerland, Value: 876, https://fifastatic.fifaindex.com/FIFA24/players/235073.png, 00026
Lautaro Martínez, ST, Inter, Argentina, Value: 876, https://fifastatic.fifaindex.com/FIFA24/players/231478.png, 00027
Gianluigi Donnarumma, GK, Paris Saint-Germain, Italy, Value: 876, https://fifastatic.fifaindex.com/FIFA24/players/230621.png, 00028
Frenkie de Jong, CM/CDM, FC Barcelona, Netherlands, Value: 876, https://fifastatic.fifaindex.com/FIFA24/players/228702.png, 00029
Martin Ødegaard, CAM/CM, Arsenal, Norway, Value: 876, https://fifastatic.fifaindex.com/FIFA24/players/222665.png, 00030
Mike Maignan, GK, Milan, France, Value: 874, https://fifastatic.fifaindex.com/FIFA24/players/215698.png, 00031
Marquinhos, CB, Paris Saint-Germain, Brazil, Value: 872, https://fifastatic.fifaindex.com/FIFA24/players/207865.png, 00032
Heung Min Son, LW, Tottenham Hotspur, Korea Republic, Value: 870, https://fifastatic.fifaindex.com/FIFA24/players/200104.png, 00033
Luka Modrić, CM, Real Madrid, Croatia, Value: 870, https://fifastatic.fifaindex.com/FIFA24/players/177003.png, 00034
Manuel Neuer, GK, Bayern München, Germany, Value: 870, https://fifastatic.fifaindex.com/FIFA24/players/167495.png, 00035
Jamal Musiala, CAM/CM/LM, Bayern München, Germany, Value: 874, https://fifastatic.fifaindex.com/FIFA24/players/256790.png, 00036
Ronald Araujo, CB/RB, FC Barcelona, Uruguay, Value: 870, https://fifastatic.fifaindex.com/FIFA24/players/253163.png, 00037
Jude Bellingham, CM/CAM, Real Madrid, England, Value: 870, https://fifastatic.fifaindex.com/FIFA24/players/252371.png, 00038
Pedri, CM, FC Barcelona, Spain, Value: 872, https://fifastatic.fifaindex.com/FIFA24/players/251854.png, 00039
Khvicha Kvaratskhelia, LW/RW, Napoli, Georgia, Value: 872, https://fifastatic.fifaindex.com/FIFA24/players/247635.png, 00040
Bukayo Saka, RW/RM, Arsenal, England, Value: 868, https://fifastatic.fifaindex.com/FIFA24/players/246669.png, 00041
Rafael Leão, LW/CF/ST, Milan, Portugal, Value: 870, https://fifastatic.fifaindex.com/FIFA24/players/241721.png, 00042
Sandro Tonali, CDM/CM, Newcastle United, Italy, Value: 866, https://fifastatic.fifaindex.com/FIFA24/players/241096.png, 00043
Éder Militão, CB, Real Madrid, Brazil, Value: 866, https://fifastatic.fifaindex.com/FIFA24/players/240130.png, 00044
Matthijs de Ligt, CB, Bayern München, Netherlands, Value: 866, https://fifastatic.fifaindex.com/FIFA24/players/235243.png, 00045
Christopher Nkunku, CF/CAM/ST, Chelsea, France, Value: 864, https://fifastatic.fifaindex.com/FIFA24/players/232411.png, 00046
Ousmane Dembélé, RW/LW, Paris Saint-Germain, France, Value: 862, https://fifastatic.fifaindex.com/FIFA24/players/231443.png, 00047
Trent Alexander-Arnold, RB, Liverpool, England, Value: 864, https://fifastatic.fifaindex.com/FIFA24/players/231281.png, 00048
Nicolò Barella, CM, Inter, Italy, Value: 864, https://fifastatic.fifaindex.com/FIFA24/players/224232.png, 00049
Sergej Milinković-Savić, CM, Al Hilal, Serbia, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/223848.png, 00050
Andrew Robertson, LB, Liverpool, Scotland, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/216267.png, 00051
N'Golo Kanté, CDM/CM, Al Ittihad, France, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/215914.png, 00052
Paulo Dybala, CF/CAM, Roma, Argentina, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/211110.png, 00053
João Cancelo, LB/RB, FC Barcelona, Portugal, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/210514.png, 00054
Sadio Mané, CF/LM/ST, Al Nassr, Senegal, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/208722.png, 00055
Parejo, CM/CDM, Villarreal CF, Spain, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/189513.png, 00056
İlkay Gündoğan, CM/CDM, FC Barcelona, Germany, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/186942.png, 00057
Wojciech Szczęsny, GK, Juventus, Poland, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/186153.png, 00058
Toni Kroos, CM/CDM, Real Madrid, Germany, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/182521.png, 00059
Cristiano Ronaldo, ST, Al Nassr, Portugal, Value: 950, https://fifastatic.fifaindex.com/FIFA24/players/20801.png, 00060
Florian Wirtz, CAM/CM, Bayer 04 Leverkusen, Germany, Value: 862, https://fifastatic.fifaindex.com/FIFA24/players/256630.png, 00061
Bruno Guimarães, CM/CDM, Newcastle United, Brazil, Value: 854, https://fifastatic.fifaindex.com/FIFA24/players/247851.png, 00062
Rodrygo, RW/LW/ST, Real Madrid, Brazil, Value: 862, https://fifastatic.fifaindex.com/FIFA24/players/243812.png, 00063
Jules Koundé, CB/RB, FC Barcelona, France, Value: 858, https://fifastatic.fifaindex.com/FIFA24/players/241486.png, 00064
Phil Foden, LW/RW, Manchester City, England, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/237692.png, 00065
Alessandro Bastoni, CB, Inter, Italy, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/237383.png, 00066
Declan Rice, CDM/CM, Arsenal, England, Value: 854, https://fifastatic.fifaindex.com/FIFA24/players/234378.png, 00067
Theo Hernández, LB/LM, Milan, France, Value: 860, https://fifastatic.fifaindex.com/FIFA24/players/232656.png, 00068
Marcus Rashford, LW/LM/ST, Manchester United, England, Value: 856, https://fifastatic.fifaindex.com/FIFA24/players/231677.png, 00069
André Onana, GK, Manchester United, Cameroon, Value: 852, https://fifastatic.fifaindex.com/FIFA24/players/226753.png, 00070
Diogo Jota, CF/LW, Liverpool, Portugal, Value: 854, https://fifastatic.fifaindex.com/FIFA24/players/224458.png, 00071
Marcos Acuña, LB/LM, Sevilla FC, Argentina, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/224334.png, 00072
Giovanni Di Lorenzo, RB, Napoli, Italy, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/217870.png, 00073
Kingsley Coman, LM/RM, Bayern München, France, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/213345.png, 00074
Aymeric Laporte, CB, Al Nassr, Spain, Value: 852, https://fifastatic.fifaindex.com/FIFA24/players/212218.png, 00075
Domenico Berardi, RW/RM, Sassuolo, Italy, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/210935.png, 00076
Thomas Partey, CDM/CM, Arsenal, Ghana, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/209989.png, 00077
Yassine Bounou, GK, Al Hilal, Morocco, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/209981.png, 00078
Leon Goretzka, CM/CDM, Chelsea, Germany, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/209658.png, 00079
Hakan Çalhanoğlu, CM/CDM, Inter, Turkey, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/208128.png, 00080
Jack Grealish, LW/LM, Manchester City, England, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/206517.png, 00081
Antonio Rüdiger, CB, Real Madrid, Germany, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/205452.png, 00082
Riyad Mahrez, RM/RW, Al Ahli, Algeria, Value: 852, https://fifastatic.fifaindex.com/FIFA24/players/204485.png, 00083
John Stones, CB/RB, Manchester City, England, Value: 852, https://fifastatic.fifaindex.com/FIFA24/players/203574.png, 00084
Emiliano Martínez, GK, Aston Villa, Argentina, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/202811.png, 00085
Raphaël Varane, CB, Tottenham Hotspur, France, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/201535.png, 00086
David Alaba, CB/LB, Real Madrid, Austria, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/197445.png, 00087
Keylor Navas, GK, Paris Saint-Germain, Costa Rica, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/193041.png, 00088
Iago Aspas, ST, RC Celta de Vigo, Spain, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/192629.png, 00089
Ciro Immobile, ST, Lazio, Italy, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/192387.png, 00090
Kevin Trapp, GK, Eintracht Frankfurt, Germany, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/188943.png, 00091
Kieran Trippier, RB, Newcastle United, England, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/186345.png, 00092
Sven Botman, CB, Newcastle United, Netherlands, Value: 726, https://fifastatic.fifaindex.com/FIFA24/players/251809.png, 00093
Gabriel Martinelli, LW/LM, Arsenal, Brazil, Value: 728, https://fifastatic.fifaindex.com/FIFA24/players/251566.png, 00094
Dušan Vlahović, ST, Juventus, Serbia, Value: 728, https://fifastatic.fifaindex.com/FIFA24/players/246430.png, 00095
Moussa Diaby, RM/LM, Aston Villa, France, Value: 728, https://fifastatic.fifaindex.com/FIFA24/players/241852.png, 00096
Aurélien Tchouaméni, CDM/CM, Real Madrid, France, Value: 850, https://fifastatic.fifaindex.com/FIFA24/players/241637.png, 00097
Luis Díaz, LW/LM, Liverpool, Colombia, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/241084.png, 00098
Bremer, CB, Juventus, Brazil, Value: 726, https://fifastatic.fifaindex.com/FIFA24/players/239580.png, 00099
Lisandro Martínez, CB, Manchester United, Argentina, Value: 726, https://fifastatic.fifaindex.com/FIFA24/players/239301.png, 00100
Reece James, RB/RWB, Chelsea, England, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/238074.png, 00101
Randal Kolo Muani, ST/RM, Paris Saint-Germain, France, Value: 726, https://fifastatic.fifaindex.com/FIFA24/players/237679.png, 00102
Kim Min Jae, CB, Bayern München, Korea Republic, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/237086.png, 00103
Federico Chiesa, LM/LW/RW, Juventus, Italy, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/235805.png, 00104
Achraf Hakimi, RB/RWB, Paris Saint-Germain, Morocco, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/235212.png, 00105
Aaron Ramsdale, GK, Arsenal, England, Value: 726, https://fifastatic.fifaindex.com/FIFA24/players/233934.png, 00106
Raphinha, RW, FC Barcelona, Brazil, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/233419.png, 00107
Fikayo Tomori, CB, Milan, England, Value: 728, https://fifastatic.fifaindex.com/FIFA24/players/232756.png, 00108
Gabriel, CB, Arsenal, Brazil, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/232580.png, 00109
Milan Škriniar, CB, Paris Saint-Germain, Slovakia, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/232363.png, 00110
Gabriel Jesus, ST/RW, Arsenal, Brazil, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/230666.png, 00111
Álex Remiro, GK, Real Sociedad, Spain, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/227127.png, 00112
Ismaël Bennacer, CDM/CM/CAM, Milan, Algeria, Value: 728, https://fifastatic.fifaindex.com/FIFA24/players/226754.png, 00113
Marcos Llorente, RM/CM/RB, Atlético de Madrid, Spain, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/226161.png, 00114
Mikel Merino, CM/CAM/LM, Paris Saint-Germain, Spain, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/225193.png, 00115
Rúben Neves, CDM/CM, Al Hilal, Portugal, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/224293.png, 00116
Leroy Sané, RM/LM, Bayern München, Germany, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/222492.png, 00117
Lucas Hernández, CB/LB, Paris Saint-Germain, France, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/220814.png, 00118
James Maddison, CAM/RM/CM, Tottenham Hotspur, England, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/220697.png, 00119
Stanislav Lobotka, CM/CDM, Napoli, Slovakia, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/216435.png, 00120
Pierre-Emile Højbjerg, CDM/CM, Tottenham Hotspur, Denmark, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/213648.png, 00121
Rodrigo Javier De Paul, CM, Atlético de Madrid, Argentina, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/212616.png, 00122
Julian Brandt, CAM/RM/CM, Borussia Dortmund, Germany, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/212194.png, 00123
Niklas Süle, CB/RB, Borussia Dortmund, Germany, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/212190.png, 00124
Grimaldo, LWB/LM, Bayer 04 Leverkusen, Spain, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/210035.png, 00125
Adrien Rabiot, CM/LM, Juventus, France, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/210008.png, 00126
Fabinho, CDM, Al Ittihad, Brazil, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/209499.png, 00127
Yannick Carrasco, LW/LWB/LM, Al Shabab, Belgium, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/208418.png, 00128
Matthias Ginter, CB, SC Freiburg, Germany, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/207862.png, 00129
Serge Gnabry, RM/ST/LM, Bayern München, Germany, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/206113.png, 00130
Nick Pope, GK, Newcastle United, England, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/203841.png, 00131
Memphis Depay, CF/LW/ST, Atlético de Madrid, Netherlands, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/202556.png, 00132
Kalidou Koulibaly, CB, Al Hilal, Senegal, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/201024.png, 00133
Luis Alberto, CM, Lazio, Spain, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/198706.png, 00134
Koke, CDM/CM, Atlético de Madrid, Spain, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/193747.png, 00135
Koen Casteels, GK, VfL Wolfsburg, Belgium, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/192984.png, 00136
Romelu Lukaku, ST, Roma, Belgium, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/192505.png, 00137
Chris Smalling, CB, Roma, England, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/189881.png, 00138
Thomas Müller, CAM/CF/ST, Bayern München, Germany, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/189596.png, 00139
Thiago, CM, Liverpool, Spain, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/189509.png, 00140
Kyle Walker, RB, Manchester City, England, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/188377.png, 00141
Péter Gulácsi, GK, RB Leipzig, Hungary, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/185122.png, 00142
Yann Sommer, GK, Inter, Switzerland, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/177683.png, 00143
Thiago Silva, CB, Chelsea, Brazil, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/164240.png, 00144
Gavi, CM/LW, FC Barcelona, Spain, Value: 724, https://fifastatic.fifaindex.com/FIFA24/players/264240.png, 00145
Jeremie Frimpong, RWB/RM, Bayer 04 Leverkusen, Netherlands, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/253149.png, 00146
Nico Schlotterbeck, CB, Borussia Dortmund, Germany, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/247819.png, 00147
Enzo Fernández, CM/CDM, Chelsea, Argentina, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/247090.png, 00148
Dani Olmo, CAM/CF, RB Leipzig, Spain, Value: 718, https://fifastatic.fifaindex.com/FIFA24/players/244260.png, 00149
William Saliba, CB, Napoli, France, Value: 722, https://fifastatic.fifaindex.com/FIFA24/players/243715.png, 00150
Cody Gakpo, CF/LW, Liverpool, Netherlands, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/242516.png, 00151
Pau Torres, CB, Aston Villa, Spain, Value: 716, https://fifastatic.fifaindex.com/FIFA24/players/241464.png, 00152
Alphonso Davies, LB/LM, Bayern München, Canada, Value: 720, https://fifastatic.fifaindex.com/FIFA24/players/234396.png, 00153
Patrik Schick, ST, Bayer 04 Leverkusen, Czech Republic, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/234236.png, 00154
Franck Yannick Kessié, CDM/CM, Al Ahli, Ivory Coast, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/230938.png, 00155
Unai Simón, GK, Athletic Club de Bilbao, Spain, Value: 716, https://fifastatic.fifaindex.com/FIFA24/players/230869.png, 00156
Ronaldo Cabrais, CAM/RM, Palmeiras, Brazil, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/230481.png, 00157
Oyarzabal, LM/RM/LW, Real Sociedad, Spain, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/230142.png, 00158
Gianluca Mancini, CB, Atlético de Madrid, Italy, Value: 714, https://fifastatic.fifaindex.com/FIFA24/players/229582.png, 00159
Palhinha, CDM/CM, Fulham, Portugal, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/229391.png, 00160
Lorenzo Pellegrini, CAM/CM/CF, Roma, Italy, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/228251.png, 00161
André-Franck Zambo Anguissa, CDM/CM, Napoli, Cameroon, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/227236.png, 00162
Benjamin Pavard, CB/RB, Inter, France, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/226851.png, 00163
Presnel Kimpembe, CB, Paris Saint-Germain, France, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/225850.png, 00164
Guido Rodríguez, CDM, Real Betis Balompié, Argentina, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/225659.png, 00165
Konrad Laimer, CDM/CM, Bayern München, Austria, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/225375.png, 00166
Alex Meret, GK, Napoli, Italy, Value: 714, https://fifastatic.fifaindex.com/FIFA24/players/225116.png, 00167
Borja Iglesias, ST, Real Betis Balompié, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/224179.png, 00168
Manuel Locatelli, CDM/CM, Juventus, Italy, Value: 716, https://fifastatic.fifaindex.com/FIFA24/players/222077.png, 00169
Marco Asensio, RW, Paris Saint-Germain, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/220834.png, 00170
Nabil Fekir, CAM, Real Betis Balompié, France, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/216594.png, 00171
Rafa, CF/RM, Benfica, Portugal, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/216547.png, 00172
José María Giménez, CB, Atlético de Madrid, Uruguay, Value: 714, https://fifastatic.fifaindex.com/FIFA24/players/216460.png, 00173
Marcelo Brozović, CDM/CM, Al Nassr, Croatia, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/216352.png, 00174
Andreas Christensen, CB, FC Barcelona, Denmark, Value: 714, https://fifastatic.fifaindex.com/FIFA24/players/213661.png, 00175
Alessio Romagnoli, CB, Lazio, Italy, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/210413.png, 00176
Piotr Zieliński, CM/CAM, Napoli, Poland, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/210406.png, 00177
Jonas Hofmann, CAM/RM/LM, Bayer 04 Leverkusen, Germany, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/210324.png, 00178
Filip Kostić, LM/LW, Juventus, Serbia, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/208574.png, 00179
Emre Can, CDM/CB, Borussia Dortmund, Germany, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/208333.png, 00180
Gerard Moreno, ST/RM, Villarreal CF, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/208093.png, 00181
Luke Shaw, LB/CB, Manchester United, England, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/205988.png, 00182
Sébastien Haller, ST, Borussia Dortmund, Ivory Coast, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/205693.png, 00183
Jorginho, CDM/CM, Arsenal, Italy, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/205498.png, 00184
Willi Orban, CB, RB Leipzig, Hungary, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/204638.png, 00185
Raheem Sterling, LW/RW/ST, Chelsea, England, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/202652.png, 00186
Sergi Darder, CM/CDM/CAM, RCD Mallorca, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/202648.png, 00187
Morata, ST, Bayer 04 Leverkusen, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/201153.png, 00188
Nacho Fernández, CB/LB/RB, Real Madrid, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/200724.png, 00189
Francesco Acerbi, CB, Inter, Italy, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/199845.png, 00190
Wissam Ben Yedder, ST, AS Monaco, France, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/199451.png, 00191
Alexandre Lacazette, ST, Olympique Lyonnais, France, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/193301.png, 00192
Christian Eriksen, CM/CDM, Manchester United, Denmark, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/190460.png, 00193
Sergio Busquets, CDM, Inter Miami, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/189511.png, 00194
Jordi Alba, LB, Inter Miami, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/189332.png, 00195
Marco Reus, CAM/CF, Borussia Dortmund, Germany, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/188350.png, 00196
Ángel Di María, CF/RW/RM, Benfica, Argentina, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/183898.png, 00197
Edin Džeko, ST, Fenerbahçe, Bosnia & Herzegovina, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/180930.png, 00198
Mats Hummels, CB, Borussia Dortmund, Germany, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/178603.png, 00199
Hugo Lloris, GK, Tottenham Hotspur, France, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/167948.png, 00200
Sergio Ramos, CB, Sevilla FC, Spain, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/155862.png, 00201
Antony, RW/RM, Manchester United, Brazil, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/255475.png, 00202
Darwin Núñez, ST/LW, Liverpool, Uruguay, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/253072.png, 00203
Nuno Mendes, LB/LWB, Paris Saint-Germain, Portugal, Value: 710, https://fifastatic.fifaindex.com/FIFA24/players/252145.png, 00204
Joško Gvardiol, CB/LB, Manchester City, Croatia, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/251517.png, 00205
Eduardo Camavinga, CDM/CM/LB, Real Madrid, France, Value: 714, https://fifastatic.fifaindex.com/FIFA24/players/248243.png, 00206
Boulaye Dia, ST/LW/CF, Salernitana, Senegal, Value: 706, https://fifastatic.fifaindex.com/FIFA24/players/246242.png, 00207
Viktor Tsygankov, RM/CM/CAM, Girona FC, Ukraine, Value: 706, https://fifastatic.fifaindex.com/FIFA24/players/244369.png, 00208
Loïs Openda, ST, RB Leipzig, Belgium, Value: 708, https://fifastatic.fifaindex.com/FIFA24/players/243580.png, 00209
Orkun Kökçü, CM/CAM, Benfica, Turkey, Value: 708, https://fifastatic.fifaindex.com/FIFA24/players/243245.png, 00210
Mehdi Taremi, ST/CF, FC Porto, Iran, Value: 700, https://fifastatic.fifaindex.com/FIFA24/players/241788.png, 00211
Dominik Livaković, GK, Fenerbahçe, Croatia, Value: 704, https://fifastatic.fifaindex.com/FIFA24/players/241671.png, 00212
Ferran Torres, LW/RW/ST, FC Barcelona, Spain, Value: 712, https://fifastatic.fifaindex.com/FIFA24/players/241461.png, 00213
Pedro Gonçalves, LW/RW/CM, Sporting CP, Portugal, Value: 706, https://fifastatic.fifaindex.com/FIFA24/players/240950.png, 00214
