Kylian Mbappé, ST/LW, Paris SG, France, Value: 950, https://fifastatic.fifaindex.com/FIFA23/players/231747.png, 00001
De Gea, GK, Manchester Utd, Spain, Value: 870, https://fifastatic.fifaindex.com/FIFA23/players/193080.png, 00036
Keylor Navas, GK, Nott'm Forest, Costa Rica, Value: 870, https://fifastatic.fifaindex.com/FIFA23/players/193041.png, 00037
Federico Valverde, CM/RW, Real Madrid, Uruguay, Value: 870, https://fifastatic.fifaindex.com/FIFA23/players/239053.png, 00038
Vinícius Jr., LW, Real Madrid, Brazil, Value: 872, https://fifastatic.fifaindex.com/FIFA23/players/238794.png, 00039
Christopher Nkunku, CF/CAM/ST, RB Leipzig, France, Value: 866, https://fifastatic.fifaindex.com/FIFA23/players/232411.png, 00040
Milan Škriniar, CB, Inter, Slovakia, Value: 862, https://fifastatic.fifaindex.com/FIFA23/players/232363.png, 00041
Lautaro Martínez, ST, Inter, Argentina, Value: 866, https://fifastatic.fifaindex.com/FIFA23/players/231478.png, 00042
Nicolò Barella, CM, Inter, Italy, Value: 866, https://fifastatic.fifaindex.com/FIFA23/players/224232.png, 00043
Sergej Milinković-Savić, CM, Latium, Serbia, Value: 862, https://fifastatic.fifaindex.com/FIFA23/players/223848.png, 00044
Marcelo Brozović, CDM/CM, Inter, Croatia, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/216352.png, 00045
Andrew Robertson, LB, Liverpool, Scotland, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/216267.png, 00046
Aymeric Laporte, CB, Manchester City, Spain, Value: 862, https://fifastatic.fifaindex.com/FIFA23/players/212218.png, 00047
Bruno Fernandes, CAM/CM, Manchester Utd, Portugal, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/212198.png, 00048
Paulo Dybala, CF/CAM, Roma, Argentina, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/211110.png, 00049
Fabinho, CDM, Liverpool, Brazil, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/209499.png, 00050
Kalidou Koulibaly, CB, Chelsea, Senegal, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/201024.png, 00051
David Alaba, CB/LB, Real Madrid, Austria, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/197445.png, 00052
Ciro Immobile, ST, Latium, Italy, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/192387.png, 00053
Parejo, CM/CDM, Villarreal CF, Spain, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/189513.png, 00054
Thiago, CM, Liverpool, Spain, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/189509.png, 00055
Kevin Trapp, GK, Frankfurt, Germany, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/188943.png, 00056
Wojciech Szczęsny, GK, Juventus, Poland, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/186153.png, 00057
Yann Sommer, GK, FC Bayern München, Switzerland, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/177683.png, 00058
Thiago Silva, CB, Chelsea, Brazil, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/164240.png, 00059
Jude Bellingham, CM, Borussia Dortmund, England, Value: 862, https://fifastatic.fifaindex.com/FIFA23/players/252371.png, 00060
Pedri, CM, FC Barcelona, Spain, Value: 864, https://fifastatic.fifaindex.com/FIFA23/players/251854.png, 00061
Phil Foden, LW/CF/CAM, Manchester City, England, Value: 864, https://fifastatic.fifaindex.com/FIFA23/players/237692.png, 00062
Matthijs de Ligt, CB, FC Bayern München, Netherlands, Value: 858, https://fifastatic.fifaindex.com/FIFA23/players/235243.png, 00063
Gregor Kobel, GK, Borussia Dortmund, Switzerland, Value: 858, https://fifastatic.fifaindex.com/FIFA23/players/235073.png, 00064
Édouard Mendy, GK, Chelsea, Senegal, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/234642.png, 00065
Theo Hernández, LB, Milan, France, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/232656.png, 00066
Trent Alexander-Arnold, RB, Liverpool, England, Value: 856, https://fifastatic.fifaindex.com/FIFA23/players/231281.png, 00067
Diogo Jota, CF/LW, Liverpool, Portugal, Value: 856, https://fifastatic.fifaindex.com/FIFA23/players/224458.png, 00068
Marcos Acuña, LB/LM, Sevilla FC, Argentina, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/224334.png, 00069
Martin Ødegaard, CAM/CM, Arsenal, Norway, Value: 858, https://fifastatic.fifaindex.com/FIFA23/players/222665.png, 00070
Nabil Fekir, CAM, Real Betis, France, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/216594.png, 00071
Kingsley Coman, RM/LM, FC Bayern München, France, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/213345.png, 00072
Niklas Süle, CB/RB, Borussia Dortmund, Germany, Value: 854, https://fifastatic.fifaindex.com/FIFA23/players/212190.png, 00073
Yassine Bounou, GK, Sevilla FC, Morocco, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/209981.png, 00074
Gerard Moreno, ST, Villarreal CF, Spain, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/208093.png, 00075
Riyad Mahrez, RW/RM, Manchester City, Algeria, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/204485.png, 00076
Emiliano Martínez, GK, Aston Villa, Argentina, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/202811.png, 00077
Raheem Sterling, LW/RW/ST, Chelsea, England, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/202652.png, 00078
Memphis Depay, CF/LW/ST, Atlético de Madrid, Netherlands, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/202556.png, 00079
Raphaël Varane, CB, Manchester Utd, France, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/201535.png, 00080
Paul Pogba, CM/CDM/LM, Juventus, France, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/195864.png, 00081
Antoine Griezmann, ST/CF, Atlético de Madrid, France, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/194765.png, 00082
Iago Aspas, ST, RC Celta, Spain, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/192629.png, 00083
Romelu Lukaku, ST, Inter, Belgium, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/192505.png, 00084
Thomas Müller, CAM/CF, FC Bayern München, Germany, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/189596.png, 00085
Sergio Busquets, CDM, FC Barcelona, Spain, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/189511.png, 00086
Jordi Alba, LB, FC Barcelona, Spain, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/189332.png, 00087
Kyle Walker, RB, Manchester City, England, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/188377.png, 00088
Marco Reus, CAM/CF/RM, Borussia Dortmund, Germany, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/188350.png, 00089
İlkay Gündoğan, CM/CDM, Manchester City, Germany, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/186942.png, 00090
Péter Gulácsi, GK, RB Leipzig, Hungary, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/185122.png, 00091
Hugo Lloris, GK, Spurs, France, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/167948.png, 00092
Bukayo Saka, RW/RM, Arsenal, England, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/246669.png, 00093
Dušan Vlahović, ST, Juventus, Serbia, Value: 854, https://fifastatic.fifaindex.com/FIFA23/players/246430.png, 00094
Rafael Leão, LW/LM, Milan, Portugal, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/241721.png, 00096
Jules Koundé, CB/RB, FC Barcelona, France, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/241486.png, 00097
Sandro Tonali, CDM/CM, Milan, Italy, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/241096.png, 00098
Éder Militão, CB, Real Madrid, Brazil, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/240130.png, 00100
Alessandro Bastoni, CB, Inter, Italy, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/237383.png, 00102
Fikayo Tomori, CB, Milan, England, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/232756.png, 00107
Victor Osimhen, ST, Napoli FC, Nigeria, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/232293.png, 00108
Alphonso Davies, LB/LM, FC Bayern München, Canada, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/234396.png, 00105
