Kylian Mbappé, ST/LW, Paris SG, France, Value: 950, https://fifastatic.fifaindex.com/FIFA23/players/231747.png, 00001
De Gea, GK, Manchester Utd, Spain, Value: 870, https://fifastatic.fifaindex.com/FIFA23/players/193080.png, 00036
Keylor Navas, GK, Nott'm Forest, Costa Rica, Value: 870, https://fifastatic.fifaindex.com/FIFA23/players/193041.png, 00037
Federico Valverde, CM/RW, Real Madrid, Uruguay, Value: 870, https://fifastatic.fifaindex.com/FIFA23/players/239053.png, 00038
Vinícius Jr., LW, Real Madrid, Brazil, Value: 872, https://fifastatic.fifaindex.com/FIFA23/players/238794.png, 00039
Christopher Nkunku, CF/CAM/ST, RB Leipzig, France, Value: 866, https://fifastatic.fifaindex.com/FIFA23/players/232411.png, 00040
Milan Škriniar, CB, Inter, Slovakia, Value: 862, https://fifastatic.fifaindex.com/FIFA23/players/232363.png, 00041
Lautaro Martínez, ST, Inter, Argentina, Value: 866, https://fifastatic.fifaindex.com/FIFA23/players/231478.png, 00042
Nicolò Barella, CM, Inter, Italy, Value: 866, https://fifastatic.fifaindex.com/FIFA23/players/224232.png, 00043
Sergej Milinković-Savić, CM, Latium, Serbia, Value: 862, https://fifastatic.fifaindex.com/FIFA23/players/223848.png, 00044
Marcelo Brozović, CDM/CM, Inter, Croatia, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/216352.png, 00045
Andrew Robertson, LB, Liverpool, Scotland, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/216267.png, 00046
Aymeric Laporte, CB, Manchester City, Spain, Value: 862, https://fifastatic.fifaindex.com/FIFA23/players/212218.png, 00047
Bruno Fernandes, CAM/CM, Manchester Utd, Portugal, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/212198.png, 00048
Paulo Dybala, CF/CAM, Roma, Argentina, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/211110.png, 00049
Fabinho, CDM, Liverpool, Brazil, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/209499.png, 00050
Kalidou Koulibaly, CB, Chelsea, Senegal, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/201024.png, 00051
David Alaba, CB/LB, Real Madrid, Austria, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/197445.png, 00052
Ciro Immobile, ST, Latium, Italy, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/192387.png, 00053
Parejo, CM/CDM, Villarreal CF, Spain, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/189513.png, 00054
Thiago, CM, Liverpool, Spain, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/189509.png, 00055
Kevin Trapp, GK, Frankfurt, Germany, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/188943.png, 00056
Wojciech Szczęsny, GK, Juventus, Poland, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/186153.png, 00057
Yann Sommer, GK, FC Bayern München, Switzerland, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/177683.png, 00058
Thiago Silva, CB, Chelsea, Brazil, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/164240.png, 00059
Jude Bellingham, CM, Borussia Dortmund, England, Value: 862, https://fifastatic.fifaindex.com/FIFA23/players/252371.png, 00060
Pedri, CM, FC Barcelona, Spain, Value: 864, https://fifastatic.fifaindex.com/FIFA23/players/251854.png, 00061
Phil Foden, LW/CF/CAM, Manchester City, England, Value: 864, https://fifastatic.fifaindex.com/FIFA23/players/237692.png, 00062
Matthijs de Ligt, CB, FC Bayern München, Netherlands, Value: 858, https://fifastatic.fifaindex.com/FIFA23/players/235243.png, 00063
Gregor Kobel, GK, Borussia Dortmund, Switzerland, Value: 858, https://fifastatic.fifaindex.com/FIFA23/players/235073.png, 00064
Édouard Mendy, GK, Chelsea, Senegal, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/234642.png, 00065
Theo Hernández, LB, Milan, France, Value: 860, https://fifastatic.fifaindex.com/FIFA23/players/232656.png, 00066
Trent Alexander-Arnold, RB, Liverpool, England, Value: 856, https://fifastatic.fifaindex.com/FIFA23/players/231281.png, 00067
Diogo Jota, CF/LW, Liverpool, Portugal, Value: 856, https://fifastatic.fifaindex.com/FIFA23/players/224458.png, 00068
Marcos Acuña, LB/LM, Sevilla FC, Argentina, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/224334.png, 00069
Martin Ødegaard, CAM/CM, Arsenal, Norway, Value: 858, https://fifastatic.fifaindex.com/FIFA23/players/222665.png, 00070
Nabil Fekir, CAM, Real Betis, France, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/216594.png, 00071
Kingsley Coman, RM/LM, FC Bayern München, France, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/213345.png, 00072
Niklas Süle, CB/RB, Borussia Dortmund, Germany, Value: 854, https://fifastatic.fifaindex.com/FIFA23/players/212190.png, 00073
Yassine Bounou, GK, Sevilla FC, Morocco, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/209981.png, 00074
Gerard Moreno, ST, Villarreal CF, Spain, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/208093.png, 00075
Riyad Mahrez, RW/RM, Manchester City, Algeria, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/204485.png, 00076
Emiliano Martínez, GK, Aston Villa, Argentina, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/202811.png, 00077
Raheem Sterling, LW/RW/ST, Chelsea, England, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/202652.png, 00078
Memphis Depay, CF/LW/ST, Atlético de Madrid, Netherlands, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/202556.png, 00079
Raphaël Varane, CB, Manchester Utd, France, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/201535.png, 00080
Paul Pogba, CM/CDM/LM, Juventus, France, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/195864.png, 00081
Antoine Griezmann, ST/CF, Atlético de Madrid, France, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/194765.png, 00082
Iago Aspas, ST, RC Celta, Spain, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/192629.png, 00083
Romelu Lukaku, ST, Inter, Belgium, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/192505.png, 00084
Thomas Müller, CAM/CF, FC Bayern München, Germany, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/189596.png, 00085
Sergio Busquets, CDM, FC Barcelona, Spain, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/189511.png, 00086
Jordi Alba, LB, FC Barcelona, Spain, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/189332.png, 00087
Kyle Walker, RB, Manchester City, England, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/188377.png, 00088
Marco Reus, CAM/CF/RM, Borussia Dortmund, Germany, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/188350.png, 00089
İlkay Gündoğan, CM/CDM, Manchester City, Germany, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/186942.png, 00090
Péter Gulácsi, GK, RB Leipzig, Hungary, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/185122.png, 00091
Hugo Lloris, GK, Spurs, France, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/167948.png, 00092
Bukayo Saka, RW/RM, Arsenal, England, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/246669.png, 00093
Dušan Vlahović, ST, Juventus, Serbia, Value: 854, https://fifastatic.fifaindex.com/FIFA23/players/246430.png, 00094
Moussa Diaby, RM/LM/CF, Leverkusen, France, Value: 848, https://fifastatic.fifaindex.com/FIFA23/players/241852.png, 00095
Rafael Leão, LW/LM, Milan, Portugal, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/241721.png, 00096
Jules Koundé, CB/RB, FC Barcelona, France, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/241486.png, 00097
Sandro Tonali, CDM/CM, Milan, Italy, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/241096.png, 00098
Luis Díaz, LW/LM, Liverpool, Colombia, Value: 842, https://fifastatic.fifaindex.com/FIFA23/players/241084.png, 00099
Éder Militão, CB, Real Madrid, Brazil, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/240130.png, 00100
Reece James, RWB/RB, Chelsea, England, Value: 848, https://fifastatic.fifaindex.com/FIFA23/players/238074.png, 00101
Alessandro Bastoni, CB, Inter, Italy, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/237383.png, 00102
Federico Chiesa, LM/LW/RW, Juventus, Italy, Value: 846, https://fifastatic.fifaindex.com/FIFA23/players/235805.png, 00103
Achraf Hakimi, RB/RWB, Paris SG, Morocco, Value: 846, https://fifastatic.fifaindex.com/FIFA23/players/235212.png, 00104
Alphonso Davies, LB/LM, FC Bayern München, Canada, Value: 850, https://fifastatic.fifaindex.com/FIFA23/players/234396.png, 00105
Declan Rice, CDM/CM, West Ham, England, Value: 846, https://fifastatic.fifaindex.com/FIFA23/players/234378.png, 00106
Fikayo Tomori, CB, Milan, England, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/232756.png, 00107
Victor Osimhen, ST, Napoli FC, Nigeria, Value: 852, https://fifastatic.fifaindex.com/FIFA23/players/232293.png, 00108
Ousmane Dembélé, RW/LW, FC Barcelona, France, Value: 846, https://fifastatic.fifaindex.com/FIFA23/players/231443.png, 00109
Franck Yannick Kessié, CDM/CM/CAM, FC Barcelona, Ivory Coast, Value: 844, https://fifastatic.fifaindex.com/FIFA23/players/230938.png, 00110
Gabriel Jesus, ST/RW, Arsenal, Brazil, Value: 844, https://fifastatic.fifaindex.com/FIFA23/players/230666.png, 00111
Lorenzo Pellegrini, CAM/CM/CF, Roma, Italy, Value: 846, https://fifastatic.fifaindex.com/FIFA23/players/228251.png, 00112
Marcos Llorente, CM/RM/RB, Atlético de Madrid, Spain, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/226161.png, 00113
Leroy Sané, LM/RM/CF, FC Bayern München, Germany, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/222492.png, 00114
Lucas Hernández, CB/LB, FC Bayern München, France, Value: 842, https://fifastatic.fifaindex.com/FIFA23/players/220814.png, 00115
James Maddison, RM/CAM, Leicester City, England, Value: 842, https://fifastatic.fifaindex.com/FIFA23/players/220697.png, 00116
Youri Tielemans, CM/CDM, Leicester City, Belgium, Value: 844, https://fifastatic.fifaindex.com/FIFA23/players/216393.png, 00117
Pierre-Emile Højbjerg, CDM/CM, Spurs, Denmark, Value: 844, https://fifastatic.fifaindex.com/FIFA23/players/213648.png, 00118
Rodrigo Javier De Paul, CM/RM, Atlético de Madrid, Argentina, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/212616.png, 00119
Domenico Berardi, RW/RM, Sassuolo, Italy, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/210935.png, 00120
Thomas Partey, CDM/CM, Arsenal, Ghana, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/209989.png, 00121
Filip Kostić, LM/LW/LWB, Juventus, Serbia, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/208574.png, 00122
Yannick Carrasco, LM/LWB, Atlético de Madrid, Belgium, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/208418.png, 00123
Hakan Çalhanoğlu, CM/CDM, Inter, Turkey, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/208128.png, 00124
Jack Grealish, LW/LM, Manchester City, England, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/206517.png, 00125
Serge Gnabry, RM/LM, FC Bayern München, Germany, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/206113.png, 00126
Jorginho, CM/CDM, Arsenal, Italy, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/205498.png, 00127
Carvajal, RB, Real Madrid, Spain, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/204963.png, 00128
Stefan Savić, CB, Atlético de Madrid, Montenegro, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/204639.png, 00129
Wissam Ben Yedder, ST, AS Monaco, France, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/199451.png, 00130
Stefan de Vrij, CB, Inter, Netherlands, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/198176.png, 00131
Koen Casteels, GK, VfL Wolfsburg, Belgium, Value: 842, https://fifastatic.fifaindex.com/FIFA23/players/192984.png, 00132
Canales, RM/CAM/LM, Real Betis, Spain, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/190286.png, 00133
Muniain, LM/CAM, Athletic Club, Spain, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/189575.png, 00134
Kieran Trippier, RB, Newcastle Utd, England, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/186345.png, 00135
Ángel Di María, CF/RW/RM, Juventus, Argentina, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/183898.png, 00136
Edin Džeko, ST, Inter, Bosnia & Herzegovina, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/180930.png, 00137
Mats Hummels, CB, Borussia Dortmund, Germany, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/178603.png, 00138
Dries Mertens, CAM/CF, Galatasaray, Belgium, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/175943.png, 00139
Sergio Ramos, CB, Paris SG, Spain, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/155862.png, 00140
Alejandro Gómez, CAM/LW/CM, Sevilla FC, Argentina, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/143076.png, 00141
Jamal Musiala, CAM/LM/CM, FC Bayern München, Germany, Value: 848, https://fifastatic.fifaindex.com/FIFA23/players/256790.png, 00142
Ronald Araujo, CB/RB, FC Barcelona, Uruguay, Value: 842, https://fifastatic.fifaindex.com/FIFA23/players/253163.png, 00143
Bruno Guimarães, CM/CDM, Newcastle Utd, Brazil, Value: 838, https://fifastatic.fifaindex.com/FIFA23/players/247851.png, 00144
Cody Gakpo, LW, Liverpool, Netherlands, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/242516.png, 00145
João Félix, CF/ST, Chelsea, Portugal, Value: 842, https://fifastatic.fifaindex.com/FIFA23/players/242444.png, 00146
Aurélien Tchouaméni, CDM/CM, Real Madrid, France, Value: 842, https://fifastatic.fifaindex.com/FIFA23/players/241637.png, 00147
Pau Torres, CB, Villarreal CF, Spain, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/241464.png, 00148
Bremer, CB, Juventus, Brazil, Value: 838, https://fifastatic.fifaindex.com/FIFA23/players/239580.png, 00149
Lisandro Martínez, CB, Manchester Utd, Argentina, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/239301.png, 00150
Kai Havertz, CAM/CF/ST, Chelsea, Germany, Value: 842, https://fifastatic.fifaindex.com/FIFA23/players/235790.png, 00151
Patrik Schick, ST, Leverkusen, Czech Republic, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/234236.png, 00152
Carlos Soler, CM/RM/CDM, Paris SG, Spain, Value: 836, https://fifastatic.fifaindex.com/FIFA23/players/234153.png, 00153
Raphinha, RW/RM/LW, FC Barcelona, Brazil, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/233419.png, 00154
Mason Mount, CAM/RW/CM, Chelsea, England, Value: 836, https://fifastatic.fifaindex.com/FIFA23/players/233064.png, 00155
Jadon Sancho, LW/RW/LM, Manchester Utd, England, Value: 838, https://fifastatic.fifaindex.com/FIFA23/players/233049.png, 00156
Daichi Kamada, CAM/CF/CM, Frankfurt, Japan, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/232730.png, 00157
Cristian Romero, CB, Spurs, Argentina, Value: 840, https://fifastatic.fifaindex.com/FIFA23/players/232488.png, 00158
Marcus Rashford, LW/LM/ST, Manchester Utd, England, Value: 836, https://fifastatic.fifaindex.com/FIFA23/players/231677.png, 00159
Unai Simón, GK, Athletic Club, Spain, Value: 836, https://fifastatic.fifaindex.com/FIFA23/players/230869.png, 00160
Ronaldo Cabrais, CAM/RM, Palmeiras, Brazil, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/230481.png, 00161
Oyarzabal, LW/RW/LM, Real Sociedad, Spain, Value: 834, https://fifastatic.fifaindex.com/FIFA23/players/230142.png, 00162
Dayot Upamecano, CB, FC Bayern München, France, Value: 838, https://fifastatic.fifaindex.com/FIFA23/players/229558.png, 00163
Ferland Mendy, LB, Real Madrid, France, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/228618.png, 00164
Fabián Ruiz, CM/CDM, Paris SG, Spain, Value: 834, https://fifastatic.fifaindex.com/FIFA23/players/226271.png, 00165
Presnel Kimpembe, CB, Paris SG, France, Value: 836, https://fifastatic.fifaindex.com/FIFA23/players/225850.png, 00166
Konrad Laimer, CDM/CM, RB Leipzig, Austria, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/225375.png, 00167
Merino, CM/LM/RM, Real Sociedad, Spain, Value: 836, https://fifastatic.fifaindex.com/FIFA23/players/225193.png, 00168
Rúben Neves, CDM/CM, Wolves, Portugal, Value: 836, https://fifastatic.fifaindex.com/FIFA23/players/224293.png, 00169
Marco Asensio, RW/LW, Real Madrid, Spain, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/220834.png, 00170
Rafa, CF/RM/RW, SL Benfica, Portugal, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/216547.png, 00171
José María Giménez, CB, Atlético de Madrid, Uruguay, Value: 834, https://fifastatic.fifaindex.com/FIFA23/players/216460.png, 00172
Duván Zapata, ST, Bergamo Calcio, Colombia, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/215333.png, 00173
Ángel Correa, ST/RM/CF, Atlético de Madrid, Argentina, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/214997.png, 00174
Thomas Lemar, CM/LM/RM, Atlético de Madrid, France, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/213565.png, 00175
Piotr Zieliński, CAM/CM, Napoli FC, Poland, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/210406.png, 00176
Grimaldo, LB/LWB/LM, SL Benfica, Spain, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/210035.png, 00177
Hakim Ziyech, RW/CAM, Chelsea, Morocco, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/208670.png, 00178
Matthias Ginter, CB, SC Freiburg, Germany, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/207862.png, 00179
Mateo Kovačić, CM, Chelsea, Croatia, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/207410.png, 00180
Nick Pope, GK, Newcastle Utd, England, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/203841.png, 00181
John Stones, CB/RB, Manchester City, England, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/203574.png, 00182
Roberto Firmino, CF, Liverpool, Brazil, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/201942.png, 00183
Luis Alberto, CM, Latium, Spain, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/198706.png, 00184
Lorenzo Insigne, LW/CF/LM, Toronto FC, Italy, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/198219.png, 00185
Christian Eriksen, CM/CDM, Manchester Utd, Denmark, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/190460.png, 00186
Chris Smalling, CB, Roma, England, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/189881.png, 00187
Pierre-Emerick Aubameyang, ST, Chelsea, Gabon, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/188567.png, 00188
Fernando, CDM/CB, Sevilla FC, Brazil, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/184134.png, 00189
Eden Hazard, LW, Real Madrid, Belgium, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/183277.png, 00190
David Silva, CAM/CM, Real Sociedad, Spain, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/168542.png, 00191
Samir Handanovič, GK, Inter, Slovenia, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/162835.png, 00192
Florian Wirtz, CAM/CM, Leverkusen, Germany, Value: 838, https://fifastatic.fifaindex.com/FIFA23/players/256630.png, 00193
Antony, RW/RM, Manchester Utd, Brazil, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/255475.png, 00194
Darwin Núñez, ST/LW, Liverpool, Uruguay, Value: 834, https://fifastatic.fifaindex.com/FIFA23/players/253072.png, 00195
Joško Gvardiol, CB/LB, RB Leipzig, Croatia, Value: 834, https://fifastatic.fifaindex.com/FIFA23/players/251517.png, 00196
Dani Olmo, CAM/CF, RB Leipzig, Spain, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/244260.png, 00197
William Saliba, CB, Arsenal, France, Value: 834, https://fifastatic.fifaindex.com/FIFA23/players/243715.png, 00198
Pedro Porro, RWB/RM, Spurs, Spain, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/243576.png, 00199
Mehdi Taremi, ST/CF, FC Porto, Iran, Value: 540, https://fifastatic.fifaindex.com/FIFA23/players/241788.png, 00200
Ferran Torres, LW/ST, FC Barcelona, Spain, Value: 832, https://fifastatic.fifaindex.com/FIFA23/players/241461.png, 00201
Pedro Gonçalves, LW/RW/CM, Sporting CP, Portugal, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/240950.png, 00202
Noussair Mazraoui, RB, FC Bayern München, Morocco, Value: 546, https://fifastatic.fifaindex.com/FIFA23/players/236401.png, 00203
Arnaut Danjuma, ST/LM, Spurs, Netherlands, Value: 542, https://fifastatic.fifaindex.com/FIFA23/players/236276.png, 00204
Aaron Ramsdale, GK, Arsenal, England, Value: 548, https://fifastatic.fifaindex.com/FIFA23/players/233934.png, 00205
Lucas Paquetá, CAM/CM, West Ham, Brazil, Value: 830, https://fifastatic.fifaindex.com/FIFA23/players/233927.png, 00206
Denzel Dumfries, RWB/RM, Inter, Netherlands, Value: 544, https://fifastatic.fifaindex.com/FIFA23/players/233096.png, 00207
Gabriel, CB, Arsenal, Brazil, Value: 548, https://fifastatic.fifaindex.com/FIFA23/players/232580.png, 00208
Tammy Abraham, ST, Roma, England, Value: 548, https://fifastatic.fifaindex.com/FIFA23/players/231352.png, 00209
Josué Chiamulera, CB, Athletico-PR, Brazil, Value: 540, https://fifastatic.fifaindex.com/FIFA23/players/230375.png, 00210
Lucas Mantela, GK, Palmeiras, Brazil, Value: 540, https://fifastatic.fifaindex.com/FIFA23/players/230182.png, 00211
Ben Chilwell, LWB/LB, Chelsea, England, Value: 546, https://fifastatic.fifaindex.com/FIFA23/players/229984.png, 00212
Palhinha, CDM/CM, Fulham, Portugal, Value: 544, https://fifastatic.fifaindex.com/FIFA23/players/229391.png, 00213
Manuel Akanji, CB, Manchester City, Switzerland, Value: 542, https://fifastatic.fifaindex.com/FIFA23/players/229237.png, 00214
André Silva, ST, RB Leipzig, Portugal, Value: 542, https://fifastatic.fifaindex.com/FIFA23/players/228941.png, 00215
Rodrigo Bentancur, CM, Spurs, Uruguay, Value: 548, https://fifastatic.fifaindex.com/FIFA23/players/227535.png, 00216
André-Franck Zambo Anguissa, CDM/CM, Napoli FC, Cameroon, Value: 544, https://fifastatic.fifaindex.com/FIFA23/players/227236.png, 00217
